               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.024392,            0.034453,          0.00061194,             0.92736,             0.93311,              0.9267,             0.56075,            0.033928,            0.071575,          0.00076457,            0.007543,            0.007543,            0.007543
                  72,            0.023807,            0.035617,          0.00066786,             0.89907,             0.92852,             0.91123,             0.53187,            0.034732,            0.074675,          0.00073291,           0.0074797,           0.0074797,           0.0074797
                  73,            0.023541,            0.034356,           0.0006911,             0.90774,              0.9266,             0.91099,             0.54399,            0.033746,            0.074511,          0.00070143,            0.007416,            0.007416,            0.007416
                  74,            0.021966,            0.034761,          0.00065566,             0.90974,             0.93457,             0.92068,             0.56701,             0.03435,            0.075383,          0.00078099,           0.0073518,           0.0073518,           0.0073518
                  75,            0.022693,            0.034333,          0.00060052,             0.91679,             0.91328,             0.91025,             0.57812,            0.035021,            0.075348,          0.00071469,           0.0072872,           0.0072872,           0.0072872
                  76,             0.02208,            0.032486,           0.0005593,             0.91203,             0.93029,             0.91563,             0.56939,             0.03446,            0.074345,          0.00074532,           0.0072221,           0.0072221,           0.0072221
                  77,            0.023079,            0.032172,          0.00086428,             0.90002,              0.9143,             0.91191,             0.56606,            0.035577,            0.074648,           0.0010615,           0.0071566,           0.0071566,           0.0071566
                  78,            0.022391,            0.032841,          0.00089566,             0.89256,             0.91281,             0.90194,              0.5817,            0.034949,            0.076732,           0.0011881,           0.0070906,           0.0070906,           0.0070906
                  79,            0.023902,            0.033743,          0.00073045,             0.89461,             0.91474,             0.91316,             0.52259,            0.035566,            0.075122,           0.0010034,           0.0070243,           0.0070243,           0.0070243
                  80,            0.022723,            0.031291,          0.00067766,             0.91218,               0.932,              0.9139,             0.53347,            0.034302,            0.073432,           0.0009581,           0.0069576,           0.0069576,           0.0069576
                  81,            0.021478,            0.032718,          0.00078451,             0.90667,             0.91796,              0.9037,             0.55904,            0.034161,            0.075183,          0.00087216,           0.0068906,           0.0068906,           0.0068906
                  82,            0.020835,            0.033082,          0.00059195,             0.90045,             0.94853,             0.91271,              0.5796,            0.032993,            0.077585,          0.00085207,           0.0068232,           0.0068232,           0.0068232
                  83,            0.021598,            0.031763,          0.00062195,             0.90461,             0.91519,             0.90851,             0.57188,            0.034223,            0.081747,           0.0008271,           0.0067555,           0.0067555,           0.0067555
                  84,            0.021365,            0.032128,          0.00042478,             0.90743,             0.90754,             0.91249,              0.5949,            0.033885,            0.076273,          0.00092466,           0.0066874,           0.0066874,           0.0066874
                  85,            0.019851,            0.030111,          0.00052162,             0.89813,             0.92519,             0.91778,             0.59058,               0.034,            0.076446,          0.00086768,           0.0066191,           0.0066191,           0.0066191
                  86,             0.02068,            0.030982,          0.00056258,             0.89543,             0.93237,             0.91552,             0.57778,            0.033363,            0.078228,          0.00081755,           0.0065505,           0.0065505,           0.0065505
                  87,            0.020653,            0.031923,          0.00045779,             0.91316,              0.9301,             0.91892,             0.57845,            0.033067,            0.076594,          0.00076757,           0.0064816,           0.0064816,           0.0064816
                  88,            0.021858,            0.031467,          0.00048887,             0.90378,              0.9376,              0.9125,             0.58699,            0.035222,            0.075445,          0.00073544,           0.0064125,           0.0064125,           0.0064125
                  89,            0.022246,            0.033816,           0.0005135,             0.92039,             0.94481,             0.92815,             0.60244,             0.03441,            0.074211,           0.0008229,           0.0063432,           0.0063432,           0.0063432
                  90,             0.02062,            0.030497,          0.00070984,             0.92708,             0.92678,             0.92526,             0.59348,            0.033615,             0.07239,          0.00087393,           0.0062737,           0.0062737,           0.0062737
                  91,            0.020582,            0.030818,          0.00052951,             0.93038,             0.92869,             0.93239,             0.60784,            0.032893,            0.071969,          0.00084895,            0.006204,            0.006204,            0.006204
                  92,            0.020016,            0.031141,          0.00052146,             0.89836,             0.94003,             0.92646,             0.59378,            0.033327,            0.074646,          0.00079426,           0.0061341,           0.0061341,           0.0061341
                  93,            0.019881,            0.030907,          0.00054759,             0.91465,             0.93031,             0.92835,             0.60548,            0.033149,            0.073533,          0.00081469,            0.006064,            0.006064,            0.006064
                  94,            0.019684,            0.031157,          0.00045264,             0.91658,             0.92015,             0.92447,              0.5869,            0.033736,            0.073259,          0.00085508,           0.0059938,           0.0059938,           0.0059938
                  95,            0.019213,            0.029338,          0.00041875,              0.8989,             0.93942,             0.92985,             0.59493,            0.033471,            0.074403,          0.00080609,           0.0059235,           0.0059235,           0.0059235
                  96,            0.019705,             0.03031,          0.00036966,             0.90868,             0.94188,             0.91995,             0.59662,            0.034121,            0.076777,           0.0007545,           0.0058531,           0.0058531,           0.0058531
                  97,            0.020272,            0.028099,          0.00043967,             0.91514,             0.94129,             0.91986,             0.56586,            0.033969,             0.07821,          0.00069723,           0.0057826,           0.0057826,           0.0057826
                  98,            0.019599,            0.029065,          0.00044147,             0.90799,              0.9382,             0.91492,             0.56342,            0.034056,            0.078918,          0.00065387,            0.005712,            0.005712,            0.005712
                  99,            0.018786,             0.02798,          0.00042716,             0.90212,             0.93552,             0.91877,             0.59573,            0.033632,            0.078835,          0.00064557,           0.0056413,           0.0056413,           0.0056413
                 100,            0.021173,            0.031414,          0.00045081,             0.91279,             0.93072,             0.92249,             0.57564,            0.033586,            0.079991,          0.00075631,           0.0055707,           0.0055707,           0.0055707
                 101,            0.019219,            0.029583,          0.00057404,             0.91595,             0.93339,             0.91221,             0.59304,            0.033578,            0.079597,          0.00088607,              0.0055,              0.0055,              0.0055
                 102,             0.01914,            0.030977,          0.00055619,             0.91291,             0.94235,             0.90788,             0.58552,            0.033122,            0.083156,          0.00086467,           0.0054293,           0.0054293,           0.0054293
                 103,            0.019298,             0.03091,          0.00059724,             0.90055,             0.92433,              0.8999,             0.56099,            0.033517,            0.082864,          0.00082419,           0.0053587,           0.0053587,           0.0053587
                 104,            0.019442,            0.029432,          0.00033926,             0.89717,             0.91008,              0.9034,             0.58032,            0.033994,             0.08435,          0.00075085,            0.005288,            0.005288,            0.005288
                 105,            0.018313,            0.027957,          0.00046112,              0.9028,             0.92361,             0.90898,             0.60269,            0.034202,            0.086482,           0.0007268,           0.0052174,           0.0052174,           0.0052174
                 106,            0.018179,            0.029497,          0.00041125,             0.89657,             0.92515,             0.89853,             0.57399,            0.034091,            0.084004,          0.00065773,           0.0051469,           0.0051469,           0.0051469
                 107,            0.018046,            0.028872,          0.00032618,             0.90662,             0.91248,             0.90513,             0.58892,            0.034328,            0.084694,          0.00055213,           0.0050765,           0.0050765,           0.0050765
                 108,            0.018692,            0.030039,          0.00036858,             0.90868,             0.92023,             0.91264,             0.59851,            0.033835,            0.083248,          0.00062307,           0.0050062,           0.0050062,           0.0050062
                 109,            0.017959,            0.027758,          0.00035222,             0.89413,             0.92333,             0.90323,             0.61322,            0.033632,            0.085422,          0.00069853,            0.004936,            0.004936,            0.004936
                 110,            0.018445,            0.028546,          0.00047289,              0.9054,             0.91482,             0.90791,              0.5869,            0.034045,            0.081904,          0.00070818,           0.0048659,           0.0048659,           0.0048659
                 111,            0.018012,            0.028054,          0.00036169,             0.91066,             0.91099,             0.90348,             0.58293,            0.034105,            0.084394,          0.00079386,            0.004796,            0.004796,            0.004796
                 112,             0.01794,            0.028422,           0.0003996,             0.91513,             0.91829,             0.91955,             0.60551,            0.033913,             0.08075,          0.00073481,           0.0047263,           0.0047263,           0.0047263
                 113,            0.017674,            0.028835,          0.00037612,             0.91654,             0.91961,             0.91864,             0.58841,            0.033669,            0.080501,          0.00080949,           0.0046568,           0.0046568,           0.0046568
                 114,            0.017377,            0.027088,          0.00050169,             0.92365,             0.91176,             0.90764,             0.58596,            0.033881,            0.084931,          0.00072232,           0.0045875,           0.0045875,           0.0045875
                 115,            0.017922,            0.029928,           0.0003239,             0.90923,             0.92818,             0.91237,             0.58932,            0.033684,            0.083845,          0.00068708,           0.0045184,           0.0045184,           0.0045184
                 116,            0.017507,             0.02794,          0.00038299,             0.91684,             0.92594,             0.91126,             0.57924,            0.033967,            0.083602,           0.0005877,           0.0044495,           0.0044495,           0.0044495
                 117,            0.017689,            0.028766,          0.00043504,             0.89202,             0.93297,             0.90204,               0.573,            0.033745,            0.086522,          0.00057673,           0.0043809,           0.0043809,           0.0043809
                 118,            0.016928,            0.026208,          0.00034156,             0.90645,             0.91936,             0.91242,             0.56953,             0.03314,             0.08636,          0.00058439,           0.0043126,           0.0043126,           0.0043126
                 119,            0.017308,            0.028589,          0.00029531,             0.90502,             0.92145,             0.90816,             0.57321,            0.033503,            0.085869,          0.00059286,           0.0042445,           0.0042445,           0.0042445
